eventID_Index,playType_Index,clueToken_Index,eventTile_Index,currEventID_Index,nextEventID_Index,selectIcon_Index,settingTile_Index,talkScene_Index,duel_Index,reasoning_Index
73,tile,0,6,73,74,null,0,sceneID_59,null,null
74,null,0,0,74,75,null,0,null,1016,null
75,null,0,0,75,76,null,0,sceneID_59(2),null,null
76,null,0,0,76,77,null,0,sceneID_60,null,null
77,null,0,0,77,78,PlayerIcon,6,null,null,null
78,clueToken,4,3,78,79,null,0,sceneID_62,null,null
79,null,0,0,79,80,PlayerIcon,3,null,null,null
80,clueToken,5,1,80,81,null,0,sceneID_64,null,null
81,null,0,0,81,82,null,0,null,null,reasoningID_8
82,null,0,0,82,83,null,0,sceneID_65,null,null
83,null,0,0,83,84,null,0,sceneID_66,null,null
84,null,0,0,84,85,PlayerIcon,1,null,null,null
85,clueToken,6,9,85,86,null,0,sceneID_68,null,null
86,null,0,0,86,87,null,0,null,null,reasoningID_9
87,null,0,0,87,88,null,0,sceneID_69,null,null
88,null,0,0,88,89,null,0,null,1017,null
89,null,0,0,89,90,null,0,sceneID_69(2),null,null
90,null,0,0,90,91,null,0,sceneID_70,null,null
91,null,0,0,91,92,null,0,sceneID_71,null,null
92,null,0,0,92,93,null,0,sceneID_72,null,null
93,null,0,0,93,94,null,0,sceneID_73,null,null
94,null,0,0,94,95,null,0,sceneID_74,null,null
95,null,0,0,95,96,null,0,sceneID_75,null,null
96,null,0,0,96,97,PlayerIcon,7,null,null,null
97,clueToken,6,3,97,98,null,0,sceneID_77,null,null
98,null,0,0,98,99,PlayerIcon,3,null,null,null
99,clueToken,3,12,99,100,null,0,sceneID_79,null,null
100,null,0,0,100,101,null,0,null,1018,null
101,null,0,0,101,102,null,0,sceneID_79(2),null,null
102,null,0,0,102,103,null,0,sceneID_80,null,null
103,null,0,0,103,104,PlayerIcon,12,null,null,null
104,tile,0,1,104,105,null,0,sceneID_81,null,null
105,null,0,0,105,106,null,0,sceneID_82,null,null
106,null,0,0,106,107,null,0,null,null,reasoningID_10
107,null,0,0,107,108,null,0,sceneID_83,null,null
108,null,0,0,108,109,null,0,sceneID_84,null,null
109,null,0,0,109,110,null,0,sceneID_85,null,null
110,null,0,0,110,111,null,0,sceneID_86,null,null
111,null,0,0,111,112,null,0,sceneID_87,null,null
112,null,0,0,112,113,null,0,sceneID_88,null,null
113,null,0,0,113,114,null,0,null,1019,null
114,null,0,0,114,115,PlayerIcon,1,null,null,null
115,tile,0,7,115,116,null,0,sceneID_90,null,null
116,null,0,0,116,117,null,0,sceneID_90(2),null,null
117,null,0,0,117,118,null,0,sceneID_91,null,null
118,null,0,0,118,119,null,0,sceneID_92,null,null
119,null,0,0,119,120,PlayerIcon,5,null,null,null
120,tile,0,7,120,121,null,0,sceneID_94,null,null
121,null,0,0,121,122,PlayerIcon,7,null,null,null
122,tile,0,5,122,123,null,0,sceneID_96,null,null
123,null,0,0,123,124,PlayerIcon,5,null,null,null
124,tile,0,3,124,125,null,0,sceneID_97,null,null
125,null,0,0,125,126,null,0,null,null,reasoningID_11
126,null,0,0,126,127,null,0,sceneID_98,null,null
127,null,0,0,127,128,null,0,sceneID_99,null,null
128,null,0,0,128,129,null,0,sceneID_101,null,null
129,null,0,0,129,130,null,0,sceneID_102,null,null
130,null,0,0,130,131,null,0,sceneID_103,null,null
131,null,0,0,131,132,null,0,sceneID_104,null,null
132,null,0,0,132,133,null,0,sceneID_105,null,null
133,null,0,0,133,134,null,0,sceneID_106,null,null
134,null,0,0,134,135,null,0,null,1020,null
135,null,0,0,135,136,null,0,sceneID_107,null,null
136,null,0,0,136,137,null,0,sceneID_108,null,null
137,null,0,0,137,138,null,0,sceneID_109,null,null
138,null,0,0,138,139,null,0,sceneID_110,null,null
139,null,0,0,139,140,null,0,sceneID_111,null,null
140,null,0,0,140,141,null,0,sceneID_112,null,null
